seed,scheduler,erledigt,generiert,completion_pct,prio_completion_pct,sla_vlz,fahrzeit_min,auslastung_pct,notfall_erledigt,notfall_gesamt,rollover_max,laufzeit_sec
19,hybrid,211,284,74.3,77.9,18,4979,71.2,16,18,5,170.5
20,heuristik,179,284,63.0,73.1,25,6197,64.0,17,20,5,0.0
20,ortools-naiv,199,284,70.1,74.5,20,4319,67.9,16,20,5,33.1
20,ortools-normal,204,284,71.8,76.5,19,4402,68.3,17,20,5,33.1
20,hybrid,198,284,69.7,74.1,15,4701,67.1,18,20,5,146.3
21,heuristik,168,284,59.2,69.1,30,6183,54.6,22,23,5,0.1
21,ortools-naiv,194,284,68.3,71.2,27,4267,64.4,18,23,5,54.1
21,ortools-normal,198,284,69.7,71.6,28,4269,63.6,18,23,5,54.1
21,hybrid,195,284,68.7,70.1,28,4368,62.8,18,23,5,226.3
22,heuristik,175,284,61.6,72.1,26,6202,56.9,19,19,4,0.0
22,ortools-naiv,200,284,70.4,73.9,17,4506,68.7,17,19,5,33.1
22,ortools-normal,207,284,72.9,76.9,14,4642,69.1,18,19,5,33.1
22,hybrid,202,284,71.1,75.1,15,4386,68.3,18,19,5,138.6
23,heuristik,177,284,62.3,74.4,27,6355,60.5,25,27,5,0.0
23,ortools-naiv,212,284,74.6,81.1,15,5082,71.4,24,27,5,24.0
23,ortools-normal,217,284,76.4,82.3,16,5047,70.9,24,27,5,24.0
23,hybrid,220,284,77.5,82.4,13,5131,71.2,24,27,5,100.2
24,heuristik,175,284,61.6,71.6,25,5780,55.3,17,20,5,0.0
24,ortools-naiv,221,284,77.8,82.2,12,4773,68.5,18,20,5,33.1
24,ortools-normal,222,284,78.2,82.9,11,4831,68.9,19,20,5,30.1
24,hybrid,221,284,77.8,81.6,11,4750,69.5,18,20,5,124.6
25,heuristik,182,284,64.1,75.1,22,6225,61.6,19,22,5,0.0
25,ortools-naiv,207,284,72.9,78.8,11,4299,69.1,19,22,5,39.1
25,ortools-normal,200,284,70.4,76.8,13,4247,67.5,18,22,5,39.1
25,hybrid,206,284,72.5,78.0,11,4379,69.2,17,22,5,155.5
26,heuristik,182,284,64.1,75.0,26,6666,60.7,21,21,5,0.0
26,ortools-naiv,210,284,73.9,79.4,9,4984,68.4,21,21,5,42.1
26,ortools-normal,196,284,69.0,73.2,25,4504,65.2,19,21,5,42.1
26,hybrid,208,284,73.2,79.0,10,5003,66.8,21,21,5,179.5
27,heuristik,190,284,66.9,76.2,23,6272,60.1,20,22,5,0.0
27,ortools-naiv,223,284,78.5,81.8,9,4944,68.6,18,22,5,27.0
27,ortools-normal,225,284,79.2,82.2,12,4973,68.7,18,22,5,27.0
27,hybrid,225,284,79.2,82.6,11,4986,69.5,18,22,5,109.4
28,heuristik,178,284,62.7,73.0,31,6480,59.0,18,21,5,0.0
28,ortools-naiv,205,284,72.2,75.5,14,4432,68.2,15,21,5,33.1
28,ortools-normal,211,284,74.3,76.8,14,4555,68.7,16,21,5,30.1
28,hybrid,209,284,73.6,76.6,12,4676,69.4,17,21,5,125.2
29,heuristik,167,284,58.8,69.2,30,6258,60.8,22,22,5,0.0
29,ortools-naiv,212,284,74.6,78.5,13,5238,69.6,22,22,5,30.1
29,ortools-normal,204,284,71.8,74.1,14,4763,67.8,18,22,5,33.1
29,hybrid,212,284,74.6,77.9,10,5020,70.5,22,22,5,140.5
