scheduler,n_seeds,completion_mean,completion_std,prio_completion_mean,prio_completion_std,sla_vlz_mean,sla_vlz_std,fahrzeit_mean,fahrzeit_std,laufzeit_mean
heuristik,10,64.49,2.88,74.7,1.87,21.9,3.41,6241.5,353.49,0.0
ortools-naiv,10,73.54,2.59,78.0,2.35,15.4,5.8,4641.2,238.9,44.87
ortools-normal,10,74.69,2.57,78.76,2.45,15.1,5.72,4685.4,251.86,43.26
ortools-chaos-safe,10,73.5,2.16,77.17,2.35,16.9,4.7,4633.9,217.1,43.67
ortools-sla-boost,10,73.96,2.37,77.87,2.14,15.9,6.08,4630,207.61,43.66
hybrid,10,73.87,2.95,77.93,2.98,15,5.31,4682,244.51,151.94
